,PRODUCT,PROD_LVL,SPECIALTY,SUB_SPECIALTY,SP_SOURCE,ds,INDICATION,MARKET_FLAG,LEVEL_0_MARKET_FLAG,BIOSIMILAR_MOLECULE,CLASS,METRIC,COMPETITIVE_RX,TOTAL_RX,ALLOCATED_WITHOUT_FDAP_RX,ALLOCATED_WITH_FDAP_RX
55,Brand3,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class2,MOTRX,100.8573,,,
176,Brand8,1,PED,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class1,TRX,1.4804,,,
185,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Not Available,Not Available,Class1,NBRX,113.2298,,,
241,Brand14,2,PED,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class2,TRX,30.4294,,,
322,Brand28,2,PED,OTHERS,PHARMACY,2024-02-02,Indication2,IV Market,IV Market,Not Available,Class1,TRX,86.8156,,,
497,Brand4,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class1,NBRX,0.0,,,
522,Brand15,2,PED,OTHERS,PHARMACY,2024-02-02,Indication1,Other Market,Other Market,Not Available,Class3,TRX,994.2958,,1128.196018,1167.140115
720,Brand15,2,NP,OTHERS,PHARMACY,2024-02-02,Indication3,Other Market,Other Market,Not Available,Class3,MOTRX,6.702,,7.596668141,7.863495396
762,Brand22,2,PED,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class4,TRX,224.5489,,,
821,Brand24,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,NBRX,264.522,,,
826,Brand11,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,1223.2554,,,
929,Brand11,2,PED,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,TRX,221.2624,,,
1000,Brand4,1,PED,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class1,TRX,29.371,,,
1009,Brand4,1,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Other Market,Other Market,Not Available,Class1,NBRX,0.0,,,
1097,Brand20,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,2.5303,,,
1126,Brand24,1,PED,OTHERS,PHARMACY,2024-02-02,Indication2,Oral Market,Oral Market,Not Available,Class2,TRX,617.3153,,,
1133,Brand10,1,PED,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class1,TRX,2.8836,,,
1171,Brand29,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class4,NBRX,2.8474,,,
1208,Brand22,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class4,MOTRX,423.6098,,,
1237,Brand6,1,PED,OTHERS,PHARMACY,2024-02-02,Indication3,Not Available,Not Available,Not Available,Class3,TRX,4.7349,,,5.55929238
1252,Brand19,2,NP,OTHERS,PHARMACY,2024-02-02,Indication3,Other Market,Other Market,Not Available,Class1,MOTRX,7.9838,,,
1269,Brand29,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class4,MOTRX,970.3805,970.3805,,
1546,Brand20,2,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,TRX,29.2019,29.2019,,
1555,Brand31,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class4,MOTRX,141.4868,141.4868,,
1588,Brand2,1,PED,OTHERS,PHARMACY,2024-02-02,Indication10,Other Market,Not Available,Not Available,Class1,TRX,34.2189,34.2189,,
1626,Brand3,1,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Oral Market,Oral Market,Not Available,Class2,NBRX,49.7634,49.7634,,
1627,Brand3,1,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Oral Market,Oral Market,Not Available,Class2,MOTRX,363.7934,363.7934,,
1759,Brand4,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class1,MOTRX,5564.3123,,,
1777,Brand21,1,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
1913,Brand36,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Oral Market,Oral Market,Not Available,Class2,MOTRX,289.4131,289.4131,,
1943,Brand5,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class3,MOTRX,573.7715,,,
1976,Brand28,2,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class1,MOTRX,1.1684,1.1684,,
1997,Brand15,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class3,MOTRX,2826.9078,2826.9078,2714.106438,3100.705488
2018,Brand3,2,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class2,TRX,320.4957,320.4957,,
2021,Brand5,1,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Other Market,Other Market,Not Available,Class3,TRX,378.6893,378.6893,,
2056,Brand24,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Oral Market,Oral Market,Not Available,Class2,MOTRX,6504.2879,6504.2879,,
2071,Brand20,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,NBRX,0.0,0.0,,
2103,Brand5,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class3,MOTRX,2954.109,,,
2177,Brand24,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Oral Market,Oral Market,Not Available,Class2,MOTRX,3568.288,3568.288,,
2246,Brand3,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class2,NBRX,7.4217,7.4217,,
2248,Brand3,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Oral Market,Oral Market,Not Available,Class2,MOTRX,1190.0368,1190.0368,,
2340,Brand11,2,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,1522.1092,1522.1092,,
2391,Brand22,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class4,MOTRX,7.7844,7.7844,,
2415,Brand14,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Oral Market,Oral Market,Not Available,Class2,NBRX,36.9173,36.9173,,
2446,Brand7,2,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class1,MOTRX,27.993,27.993,,
2629,Brand11,1,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Other Market,Other Market,Not Available,Class1,MOTRX,96.6949,,,
2692,Brand4,1,NP,OTHERS,PHARMACY,2024-02-02,Indication10,Other Market,Other Market,Not Available,Class1,MOTRX,1.5739,1.5739,,
2720,Brand3,2,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class2,MOTRX,53.7617,,,
2775,Brand19,2,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Other Market,Other Market,Not Available,Class1,TRX,39.7346,39.7346,,
2889,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Other Market,Not Available,Not Available,Class1,NBRX,196.7295,196.7295,,
3051,Brand30,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class4,MOTRX,174.5992,174.5992,,
3124,Brand14,1,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Oral Market,Oral Market,Not Available,Class2,TRX,4.5707,4.5707,,
3125,Brand14,1,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Oral Market,Oral Market,Not Available,Class2,NBRX,0.0,0.0,,
3153,Brand36,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class2,MOTRX,289.4131,289.4131,,
3202,Brand19,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Other Market,Other Market,Not Available,Class1,NBRX,0.0,,,
3222,Brand3,2,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class2,MOTRX,378.6396,,,
3257,Brand5,2,PED,OTHERS,PHARMACY,2024-02-02,Indication1,Not Available,Not Available,Not Available,Class3,TRX,2.6546,,,
