Dimension,Value,Status,Comment
PRODUCT,Brand1,Fail,No data for 2024-02-02 for Brand1 in column PRODUCT
PRODUCT,Brand2,Pass,
PRODUCT,Brand3,Pass,
PRODUCT,Brand4,Pass,
PRODUCT,Brand5,Pass,
PRODUCT,Brand6,Pass,
PRODUCT,Brand7,Pass,
PRODUCT,Brand8,Pass,
PRODUCT,Brand9,Pass,
PRODUCT,Brand10,Pass,
PRODUCT,Brand11,Pass,
PRODUCT,Brand12,Pass,
PRODUCT,Brand13,Pass,
PRODUCT,Brand14,Pass,
PRODUCT,Brand15,Pass,
PRODUCT,Brand16,Pass,
PRODUCT,Brand17,Pass,
PRODUCT,Brand18,Pass,
PRODUCT,Brand19,Pass,
PRODUCT,Brand20,Pass,
PRODUCT,Brand21,Pass,
PRODUCT,Brand22,Pass,
PRODUCT,Brand23,Pass,
PRODUCT,Brand24,Pass,
PRODUCT,Brand25,Pass,
PRODUCT,Brand26,Pass,
PRODUCT,Brand27,Pass,
PRODUCT,Brand28,Pass,
PRODUCT,Brand29,Pass,
PRODUCT,Brand30,Pass,
PRODUCT,Brand31,Pass,
PRODUCT,Brand32,Pass,
PRODUCT,Brand33,Pass,
PRODUCT,Brand34,Pass,
PRODUCT,Brand35,Pass,
PRODUCT,Brand36,Pass,
PRODUCT,Brand37,Pass,
PRODUCT,Brand38,Pass,
PRODUCT,Brand39,Pass,
PRODUCT,Brand40,Pass,
PRODUCT,Brand41,Pass,
PRODUCT,Brand42,Pass,
SPECIALTY,NP,Pass,
SPECIALTY,PED,Pass,
SPECIALTY,OTHERS,Pass,
