,METRIC,PRODUCT,ds,Key,Contribution
0,MOTRX,ACTEMRA,2023-01-06,Others,0.0
1,MOTRX,ACTEMRA,2023-01-13,Others,0.0
2,MOTRX,ACTEMRA,2023-01-20,Others,0.0
3,MOTRX,ACTEMRA,2023-01-27,Others,0.0
4,MOTRX,ACTEMRA,2023-02-03,Others,0.0
5,MOTRX,ACTEMRA,2023-02-10,Others,0.0
6,MOTRX,ACTEMRA,2023-02-17,Others,0.0
7,MOTRX,ACTEMRA,2023-02-24,Others,0.0
8,MOTRX,ACTEMRA,2023-03-03,Others,0.0
9,MOTRX,ACTEMRA,2023-03-10,Others,0.0
10,MOTRX,ACTEMRA,2023-03-17,Others,0.0
11,MOTRX,ACTEMRA,2023-03-24,Others,0.0
12,MOTRX,ACTEMRA,2023-03-31,Others,0.0
13,MOTRX,ACTEMRA,2023-04-07,Others,0.0
14,MOTRX,ACTEMRA,2023-04-14,Others,0.0
15,MOTRX,ACTEMRA,2023-04-21,Others,0.0
16,MOTRX,ACTEMRA,2023-04-28,Others,0.0
17,MOTRX,ACTEMRA,2023-05-05,Others,0.0
18,MOTRX,ACTEMRA,2023-05-12,Others,0.0
19,MOTRX,ACTEMRA,2023-05-19,Others,0.0
20,MOTRX,ACTEMRA,2023-05-26,Others,0.0
21,MOTRX,ACTEMRA,2023-06-02,Others,0.0
22,MOTRX,ACTEMRA,2023-06-09,Others,0.0
23,MOTRX,ACTEMRA,2023-06-16,Others,0.0
24,MOTRX,ACTEMRA,2023-06-23,Others,0.0
25,MOTRX,ACTEMRA,2023-06-30,Others,0.0
26,MOTRX,ACTEMRA,2023-07-07,Others,0.0
27,MOTRX,ACTEMRA,2023-07-14,Others,0.0
28,MOTRX,ACTEMRA,2023-07-21,Others,0.0
29,MOTRX,ACTEMRA,2023-07-28,Others,0.0
30,MOTRX,ACTEMRA,2023-08-04,Others,0.0
31,MOTRX,ACTEMRA,2023-08-11,Others,0.0
32,MOTRX,ACTEMRA,2023-08-18,Others,0.0
33,MOTRX,ACTEMRA,2023-08-25,Others,0.0
34,MOTRX,ACTEMRA,2023-09-01,Others,0.0
35,MOTRX,ACTEMRA,2023-09-08,Others,0.0
36,MOTRX,ACTEMRA,2023-09-15,Others,0.0
37,MOTRX,ACTEMRA,2023-09-22,Others,0.0
38,MOTRX,ACTEMRA,2023-09-29,Others,0.0
39,MOTRX,ACTEMRA,2023-10-06,Others,0.0
40,MOTRX,ACTEMRA,2023-10-13,Others,0.0
41,MOTRX,ACTEMRA,2023-10-20,Others,0.0
42,MOTRX,ACTEMRA,2023-10-27,Others,0.0
43,MOTRX,ACTEMRA,2023-11-03,Others,0.0
44,MOTRX,ACTEMRA,2023-11-10,Others,0.0
45,MOTRX,ACTEMRA,2023-11-17,Others,0.0
46,MOTRX,ACTEMRA,2023-11-24,Others,0.0
47,MOTRX,ACTEMRA,2023-12-01,Others,0.0
48,MOTRX,ACTEMRA,2023-12-08,Others,0.0
49,MOTRX,ACTEMRA,2023-12-15,Others,0.0
50,MOTRX,ACTEMRA,2023-12-22,Others,0.0
51,MOTRX,ACTEMRA,2023-12-29,Others,0.0
52,MOTRX,ACTEMRA,2024-01-05,Others,0.0
53,MOTRX,ACTEMRA,2024-01-12,Others,0.0
54,MOTRX,ACTEMRA,2024-01-19,Others,0.0
55,MOTRX,ACTEMRA,2024-01-26,Others,0.0
56,MOTRX,ACTEMRA,2024-02-02,Others,0.0
57,MOTRX,ACTEMRA IV,2023-01-06,Others,0.0
58,MOTRX,ACTEMRA IV,2023-01-13,Others,0.0
59,MOTRX,ACTEMRA IV,2023-01-20,Others,0.0
60,MOTRX,ACTEMRA IV,2023-01-27,Others,0.0
61,MOTRX,ACTEMRA IV,2023-02-03,Others,0.0
62,MOTRX,ACTEMRA IV,2023-02-10,Others,0.0
